# Excerpt from: http://www.unicode.org/Public/9.0.0/ucd/DerivedNormalizationProps.txt
# ================================================

# Property:	NFC_Quick_Check

#  All code points not explicitly listed for NFC_Quick_Check
#  have the value Yes (Y).

# @missing: 0000..10FFFF; NFC_QC; Yes

# ================================================

# NFC_Quick_Check=No

0340..0341    ; NFC_QC; N # Mn   [2] COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
1D15E..1D164  ; NFC_QC; N # So   [7] MUSICAL SYMBOL HALF NOTE..MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
1D1BB..1D1C0  ; NFC_QC; N # So   [6] MUSICAL SYMBOL MINIMA..MUSICAL SYMBOL FUSA BLACK
2F800..2FA1D  ; NFC_QC; N # Lo [542] CJK COMPATIBILITY IDEOGRAPH-2F800..CJK COMPATIBILITY IDEOGRAPH-2FA1D

# Total code points: 1120

# ================================================

# NFC_Quick_Check=Maybe

0300..0304    ; NFC_QC; M # Mn   [5] COMBINING GRAVE ACCENT..COMBINING MACRON
0306..030C    ; NFC_QC; M # Mn   [7] COMBINING BREVE..COMBINING CARON
030F          ; NFC_QC; M # Mn       COMBINING DOUBLE GRAVE ACCENT
0311          ; NFC_QC; M # Mn       COMBINING INVERTED BREVE
0313..0314    ; NFC_QC; M # Mn   [2] COMBINING COMMA ABOVE..COMBINING REVERSED COMMA ABOVE
031B          ; NFC_QC; M # Mn       COMBINING HORN
0323..0328    ; NFC_QC; M # Mn   [6] COMBINING DOT BELOW..COMBINING OGONEK
032D..032E    ; NFC_QC; M # Mn   [2] COMBINING CIRCUMFLEX ACCENT BELOW..COMBINING BREVE BELOW
0330..0331    ; NFC_QC; M # Mn   [2] COMBINING TILDE BELOW..COMBINING MACRON BELOW
0338          ; NFC_QC; M # Mn       COMBINING LONG SOLIDUS OVERLAY
0342          ; NFC_QC; M # Mn       COMBINING GREEK PERISPOMENI
0345          ; NFC_QC; M # Mn       COMBINING GREEK YPOGEGRAMMENI
0653..0655    ; NFC_QC; M # Mn   [3] ARABIC MADDAH ABOVE..ARABIC HAMZA BELOW
093C          ; NFC_QC; M # Mn       DEVANAGARI SIGN NUKTA
09BE          ; NFC_QC; M # Mc       BENGALI VOWEL SIGN AA
09D7          ; NFC_QC; M # Mc       BENGALI AU LENGTH MARK
0B3E          ; NFC_QC; M # Mc       ORIYA VOWEL SIGN AA
0B56          ; NFC_QC; M # Mn       ORIYA AI LENGTH MARK
0B57          ; NFC_QC; M # Mc       ORIYA AU LENGTH MARK
0BBE          ; NFC_QC; M # Mc       TAMIL VOWEL SIGN AA
0BD7          ; NFC_QC; M # Mc       TAMIL AU LENGTH MARK
0C56          ; NFC_QC; M # Mn       TELUGU AI LENGTH MARK
0CC2          ; NFC_QC; M # Mc       KANNADA VOWEL SIGN UU
0CD5..0CD6    ; NFC_QC; M # Mc   [2] KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0D3E          ; NFC_QC; M # Mc       MALAYALAM VOWEL SIGN AA
0D57          ; NFC_QC; M # Mc       MALAYALAM AU LENGTH MARK
0DCA          ; NFC_QC; M # Mn       SINHALA SIGN AL-LAKUNA
0DCF          ; NFC_QC; M # Mc       SINHALA VOWEL SIGN AELA-PILLA
0DDF          ; NFC_QC; M # Mc       SINHALA VOWEL SIGN GAYANUKITTA
102E          ; NFC_QC; M # Mn       MYANMAR VOWEL SIGN II
1161..1175    ; NFC_QC; M # Lo  [21] HANGUL JUNGSEONG A..HANGUL JUNGSEONG I
11A8..11C2    ; NFC_QC; M # Lo  [27] HANGUL JONGSEONG KIYEOK..HANGUL JONGSEONG HIEUH
1B35          ; NFC_QC; M # Mc       BALINESE VOWEL SIGN TEDUNG
3099..309A    ; NFC_QC; M # Mn   [2] COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK..COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
110BA         ; NFC_QC; M # Mn       KAITHI SIGN NUKTA
11127         ; NFC_QC; M # Mn       CHAKMA VOWEL SIGN A
1133E         ; NFC_QC; M # Mc       GRANTHA VOWEL SIGN AA
11357         ; NFC_QC; M # Mc       GRANTHA AU LENGTH MARK
114B0         ; NFC_QC; M # Mc       TIRHUTA VOWEL SIGN AA
114BA         ; NFC_QC; M # Mn       TIRHUTA VOWEL SIGN SHORT E
114BD         ; NFC_QC; M # Mc       TIRHUTA VOWEL SIGN SHORT O
115AF         ; NFC_QC; M # Mc       SIDDHAM VOWEL SIGN AA

